id,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,pct_change,changea,change
13,1/16/2013,494.64,509.44,492.5,506.09,24671600,0,1,64.14269657,66.06189418,63.86519097,65.62748121,172701200,-0.007344973,-0.734497291,0.265502709
14,1/25/2013,451.69,456.23,435,439.88,43143800,0,1,58.57313321,59.16186005,56.40884887,57.04166538,302006600,-0.018065217,-1.806521739,-0.806521739
15,2/5/2013,444.05,459.74,442.22,457.844,20476700,0,1,57.58241228,59.61702111,57.34510609,59.37115633,143336900,-0.021722368,-2.172236787,-1.172236787
16,2/14/2013,464.5199,471.64,464.02,466.59,12688400,0,1,60.5777816,61.50630988,60.51258992,60.84774219,88818800,-0.005757796,-0.575779628,0.424220372
17,2/20/2013,457.69,457.69,448.8,448.85,17010800,0,1,59.68709814,59.68709814,58.52775819,58.53427866,119075600,-0.007395359,-0.739535892,0.260464108
18,2/22/2013,449.25,451.6,446.6,450.81,11809100,0,1,58.58644244,58.89290463,58.24085742,58.78988117,82663700,0.007286996,0.728699552,1.728699552
19,3/18/2013,441.45,457.46,441.2,455.72,21649900,0,1,57.56924878,59.65710397,57.53664642,59.43019154,151549300,0.008037814,0.803781426,1.803781426
20,3/25/2013,464.69,469.95,461.78,463.58,17897700,0,1,60.59996425,61.28591792,60.22047277,60.45520977,125283900,0.02224031,2.224030974,3.224030974
21,4/2/2013,427.6,438.14,426.4,429.792,18911400,0,1,55.76307799,57.13759353,55.60658666,56.04893549,132379800,-0.032360263,-3.23602625,-2.23602625
22,4/12/2013,434.15,434.15,429.09,429.8,8521900,0,1,56.61725985,56.61725985,55.95738806,56.04997877,59653300,0.000991423,0.099142304,1.099142304
23,4/19/2013,387.97,399.6,385.1,390.53,21759800,0,1,50.59495175,52.11161358,50.22067665,50.92879993,152318600,-0.042025729,-4.202572903,-3.202572903
24,4/22/2013,392.64,402.2,391.275,398.67,15354300,0,1,51.20396385,52.45067813,51.02595496,51.9903328,107480100,0.012037013,1.203701317,2.203701317
